abnormal_x_arm,abnormal_y_arm,abnormal_z_arm,abnormal_norm_arm,abnormal_x_neck,abnormal_y_neck,abnormal_z_neck,abnormal_norm_neck,abnormal_x_waist,abnormal_y_waist,abnormal_z_waist,abnormal_norm_waist,abnormal_PWR,abnormal_HR,x_mean_arm,y_mean_arm,z_mean_arm,norm_arm,x_mean_neck,y_mean_neck,z_mean_neck,norm_neck,x_mean_neck.1,y_mean_neck.1,z_mean_neck.1,norm_neck.1,PWR,HR,x_mean_arm_1,y_mean_arm_1,z_mean_arm_1,norm_arm_1,x_mean_neck_1,y_mean_neck_1,z_mean_neck_1,norm_neck_1,x_mean_neck_1,y_mean_neck_1,z_mean_neck_1,norm_neck_1,PWR_1,HR_1,x_mean_arm_2,y_mean_arm_2,z_mean_arm_2,norm_arm_2,x_mean_neck_2,y_mean_neck_2,z_mean_neck_2,norm_neck_2,x_mean_neck_2,y_mean_neck_2,z_mean_neck_2,norm_neck_2,PWR_2,HR_2,x_mean_arm_3,y_mean_arm_3,z_mean_arm_3,norm_arm_3,x_mean_neck_3,y_mean_neck_3,z_mean_neck_3,norm_neck_3,x_mean_neck_3,y_mean_neck_3,z_mean_neck_3,norm_neck_3,PWR_3,HR_3,x_mean_arm_4,y_mean_arm_4,z_mean_arm_4,norm_arm_4,x_mean_neck_4,y_mean_neck_4,z_mean_neck_4,norm_neck_4,x_mean_neck_4,y_mean_neck_4,z_mean_neck_4,norm_neck_4,PWR_4,HR_4,x_mean_arm_5,y_mean_arm_5,z_mean_arm_5,norm_arm_5,x_mean_neck_5,y_mean_neck_5,z_mean_neck_5,norm_neck_5,x_mean_neck_5,y_mean_neck_5,z_mean_neck_5,norm_neck_5,PWR_5,HR_5,x_mean_arm_6,y_mean_arm_6,z_mean_arm_6,norm_arm_6,x_mean_neck_6,y_mean_neck_6,z_mean_neck_6,norm_neck_6,x_mean_neck_6,y_mean_neck_6,z_mean_neck_6,norm_neck_6,PWR_6,HR_6,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.2,-35,62.4,98.15599829,85.4,-12.6,36.8,93.84114236,91.6,-19.4,32,98.94907781,172433,71.00843002,0.2,0.6,0,-0.34945454,-0.8,0.4,0,-0.78073187,1,-0.2,-4.2,-0.29939459,15778,5.38344692,-0.4,0.8,0.4,0.24745693,-1,1,-0.2,-1.11854533,2.2,-0.2,-4.6,0.71716522,-35101,4.3557007,-0.6,0.6,0.6,0.58203896,0.6,1,-0.4,0.26263015,0.2,0.8,-0.2,-0.03274953,-43038,5.6055805,-0.2,1,1,0.42554156,0,0.6,-0.2,-0.15699215,0.8,0.2,-0.8,0.44830646,125285,0.80339677,-0.2,0.6,0.8,0.43588779,0.4,0.8,-0.8,-0.04945829,2,1,-3,0.75307864,742073,-3.33048567,0,1.2,0.6,-0.03729467,-0.2,0.6,-0.8,-0.57249811,-0.2,0.6,-0.2,-0.36591495,2244433,-4.76866989,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.2,-34.4,63,98.32700545,85.2,-12.4,36.8,93.632473,91.8,-18.8,32.2,99.08339922,179215,69.26797133,0,-0.6,-0.6,-0.17100716,0.2,-0.2,0,0.20866936,-0.2,-0.6,-0.2,-0.13432141,-6782,1.74045869,0.2,0,-0.6,-0.5204617,-0.6,0.2,0,-0.57206251,0.8,-0.8,-4.4,-0.433716,8996,7.12390561,-0.4,0.2,-0.2,0.07644977,-0.8,0.8,-0.2,-0.90987597,2,-0.8,-4.8,0.58284381,-41883,6.09615939,-0.6,0,0,0.4110318,0.8,0.8,-0.4,0.47129951,0,0.2,-0.4,-0.16707094,-49820,7.34603919,-0.2,0.4,0.4,0.2545344,0.2,0.4,-0.2,0.05167721,0.6,-0.4,-1,0.31398505,118503,2.54385546,-0.2,0,0.2,0.26488063,0.6,0.6,-0.8,0.15921107,1.8,0.4,-3.2,0.61875723,735291,-1.59002698,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.4,-34.2,62.6,98.1384736,84.8,-12.4,36,92.95590352,92,-18.4,31,98.81072816,164709,70.03652822,0.2,-0.2,0.4,0.18853185,0.4,0,0.8,0.67656948,-0.2,-0.4,1.2,0.27267106,14506,-0.76855689,0.2,-0.8,-0.2,0.01752469,0.6,-0.2,0.8,0.88523884,-0.4,-1,1,0.13834965,7724,0.9719018,0.4,-0.2,-0.2,-0.33192985,-0.2,0.2,0.8,0.10450697,0.6,-1.2,-3.2,-0.16104494,23502,6.35534872,-0.2,0,0.2,0.26498162,-0.4,0.8,0.6,-0.23330649,1.8,-1.2,-3.6,0.85551487,-27377,5.3276025,-0.4,-0.2,0.4,0.59956365,1.2,0.8,0.4,1.14786899,-0.2,-0.2,0.8,0.10560012,-35314,6.5774823,0,0.2,0.8,0.44306625,0.6,0.4,0.6,0.72824669,0.4,-0.8,0.2,0.58665611,133009,1.77529857,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-34,62.8,98.60953301,84.8,-11.8,37.2,93.34945099,92.4,-20,30.8,99.43037765,635390,70.21299345,0.6,-0.2,-0.2,-0.47105941,0,-0.6,-1.2,-0.39354747,-0.4,1.6,0.2,-0.61964949,-470681,-0.17646523,0.8,-0.4,0.2,-0.28252756,0.4,-0.6,-0.4,0.28302201,-0.6,1.2,1.4,-0.34697843,-456175,-0.94502212,0.8,-1,-0.4,-0.45353472,0.6,-0.8,-0.4,0.49169137,-0.8,0.6,1.2,-0.48129984,-462957,0.79543657,1,-0.4,-0.4,-0.80298926,-0.2,-0.4,-0.4,-0.2890405,0.2,0.4,-3,-0.78069443,-447179,6.17888349,0.4,-0.2,0,-0.20607779,-0.4,0.2,-0.6,-0.62685396,1.4,0.4,-3.4,0.23586538,-498058,5.15113727,0.2,-0.4,0.2,0.12850424,1.2,0.2,-0.8,0.75432152,-0.6,1.4,1,-0.51404937,-505995,6.40101707,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-34,62.8,98.60953301,85.6,-11.4,36.8,93.86990998,91.8,-19.6,32,99.17358519,1636659,70.6967257,0,0,0,0,-0.8,-0.4,0.4,-0.52045899,0.6,-0.4,-1.2,0.25679246,-1001269,-0.48373225,0.6,-0.2,-0.2,-0.47105941,-0.8,-1,-0.8,-0.91400646,0.2,1.2,-1,-0.36285703,-1471950,-0.66019748,0.8,-0.4,0.2,-0.28252756,-0.4,-1,0,-0.23743698,0,0.8,0.2,-0.09018597,-1457444,-1.42875437,0.8,-1,-0.4,-0.45353472,-0.2,-1.2,0,-0.02876762,-0.2,0.2,0,-0.22450738,-1464226,0.31170432,1,-0.4,-0.4,-0.80298926,-1,-0.8,0,-0.80949949,0.8,0,-4.2,-0.52390197,-1448448,5.69515124,0.4,-0.2,0,-0.20607779,-1.2,-0.2,-0.2,-1.14731295,2,0,-4.6,0.49265784,-1499327,4.66740502,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.4,62.4,98.35629111,85.2,-12.2,37,93.68500414,91.8,-19.8,31.4,99.02141183,879464,68.71679105,-0.2,0.4,0.4,0.2532419,0.4,0.8,-0.2,0.18490584,0,0.2,0.6,0.15217336,757195,1.97993465,-0.2,0.4,0.4,0.2532419,-0.4,0.4,0.2,-0.33555315,0.6,-0.2,-0.6,0.40896582,-244074,1.4962024,0.4,0.2,0.2,-0.21781751,-0.4,-0.2,-1,-0.72910062,0.2,1.4,-0.4,-0.21068367,-714755,1.31973717,0.6,0,0.6,-0.02928566,0,-0.2,-0.2,-0.05253114,0,1,0.8,0.06198739,-700249,0.55118028,0.6,-0.6,0,-0.20029282,0.2,-0.4,-0.2,0.15613822,-0.2,0.4,0.6,-0.07233402,-707031,2.29163897,0.8,0,0,-0.54974736,-0.6,0,-0.2,-0.62459365,0.8,0.2,-3.6,-0.37172861,-691253,7.67508589,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.8,62.6,98.6237294,84.6,-12,37.4,93.27336168,92.4,-19.6,30.4,99.22741557,551084,67.31165582,0,0.4,-0.2,-0.26743829,0.6,-0.2,-0.4,0.41164246,-0.6,-0.2,1,-0.20600374,328380,1.40513523,-0.2,0.8,0.2,-0.01419639,1,0.6,-0.6,0.5965483,-0.6,0,1.6,-0.05383038,1085575,3.38506988,-0.2,0.8,0.2,-0.01419639,0.2,0.2,-0.2,0.07608931,0,-0.4,0.4,0.20296208,84306,2.90133763,0.4,0.6,0,-0.4852558,0.2,-0.4,-1.4,-0.31745816,-0.4,1.2,0.6,-0.41668741,-386375,2.7248724,0.6,0.4,0.4,-0.29672395,0.6,-0.4,-0.6,0.35911132,-0.6,0.8,1.8,-0.14401635,-371869,1.95631551,0.6,-0.2,-0.2,-0.46773111,0.8,-0.6,-0.6,0.56778068,-0.8,0.2,1.6,-0.27833776,-378651,3.6967742,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.6,-34.2,62.6,98.27593805,84.4,-11.6,36.8,92.80172412,91.6,-18.8,32.4,98.96342759,264141,65.11069294,-0.2,-0.6,0,0.34779135,0.2,-0.4,0.6,0.47163756,0.8,-0.8,-2,0.26398798,286943,2.20096288,-0.2,-0.2,-0.2,0.08035306,0.8,-0.6,0.2,0.88328002,0.2,-1,-1,0.05798424,615323,3.60609811,-0.4,0.2,0.2,0.33359496,1.2,0.2,0,1.06818586,0.2,-0.8,-0.4,0.2101576,1372518,5.58603276,-0.4,0.2,0.2,0.33359496,0.4,-0.2,0.4,0.54772687,0.8,-1.2,-1.6,0.46695006,371249,5.10230051,0.2,0,0,-0.13746445,0.4,-0.8,-0.8,0.1541794,0.4,0.4,-1.4,-0.15269943,-99432,4.92583528,0.4,-0.2,0.4,0.0510674,0.8,-0.8,0,0.83074888,0.2,0,-0.2,0.11997163,-84926,4.15727839,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.4,62.8,98.6105471,84,-12,37.8,92.89154967,92.8,-19.8,30.8,99.76231754,144020,63.20754431,0.2,0.2,-0.2,-0.33460905,0.4,0.4,-1,-0.08982555,-1.2,1,1.6,-0.79888995,120121,1.90314863,0,-0.4,-0.2,0.0131823,0.6,0,-0.4,0.38181201,-0.4,0.2,-0.4,-0.53490197,407064,4.10411151,0,0,-0.4,-0.25425599,1.2,-0.2,-0.8,0.79345447,-1,0,0.6,-0.74090571,735444,5.50924674,-0.2,0.4,0,-0.00101409,1.6,0.6,-1,0.97836031,-1,0.2,1.2,-0.58873235,1492639,7.48918139,-0.2,0.4,0,-0.00101409,0.8,0.2,-0.6,0.45790132,-0.4,-0.2,0,-0.33193989,491370,7.00544914,0.4,0.2,-0.2,-0.4720735,0.8,-0.4,-1.8,0.06435385,-0.8,1.4,0.2,-0.95158938,20689,6.82898391,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.4,62.4,98.35629111,84.8,-11.8,37.2,93.34945099,92.4,-19.2,31.4,99.46034386,177533,66.04460945,0,0,0.4,0.25425599,-0.8,-0.2,0.6,-0.45790132,0.4,-0.6,-0.6,0.30197368,-33513,-2.83706514,0.2,0.2,0.2,-0.08035306,-0.4,0.2,-0.4,-0.54772687,-0.8,0.4,1,-0.49691627,86608,-0.93391651,0,-0.4,0.2,0.26743829,-0.2,-0.2,0.2,-0.07608931,0,-0.4,-1,-0.23292829,373551,1.26704637,0,0,0,0,0.4,-0.4,-0.2,0.33555315,-0.6,-0.6,0,-0.43893203,701931,2.6721816,-0.2,0.4,0.4,0.2532419,0.8,0.4,-0.4,0.52045899,-0.6,-0.4,0.6,-0.28675867,1459126,4.65211625,-0.2,0.4,0.4,0.2532419,0,0,0,0,0,-0.8,-0.6,-0.02996621,457857,4.168384,2
