abnormal_x_arm,abnormal_y_arm,abnormal_z_arm,abnormal_norm_arm,abnormal_x_neck,abnormal_y_neck,abnormal_z_neck,abnormal_norm_neck,abnormal_x_waist,abnormal_y_waist,abnormal_z_waist,abnormal_norm_waist,abnormal_PWR,abnormal_HR,x_mean_arm,y_mean_arm,z_mean_arm,norm_arm,x_mean_neck,y_mean_neck,z_mean_neck,norm_neck,x_mean_waist,y_mean_waist,z_mean_waist,norm_waist,PWR,HR,x_mean_arm_1,y_mean_arm_1,z_mean_arm_1,norm_arm_1,x_mean_neck_1,y_mean_neck_1,z_mean_neck_1,norm_neck_1,x_mean_neck_1.1,y_mean_neck_1.1,z_mean_neck_1.1,norm_neck_1.1,PWR_1,HR_1,x_mean_arm_2,y_mean_arm_2,z_mean_arm_2,norm_arm_2,x_mean_neck_2,y_mean_neck_2,z_mean_neck_2,norm_neck_2,x_mean_neck_2.1,y_mean_neck_2.1,z_mean_neck_2.1,norm_neck_2.1,PWR_2,HR_2,x_mean_arm_3,y_mean_arm_3,z_mean_arm_3,norm_arm_3,x_mean_neck_3,y_mean_neck_3,z_mean_neck_3,norm_neck_3,x_mean_neck_3.1,y_mean_neck_3.1,z_mean_neck_3.1,norm_neck_3.1,PWR_3,HR_3,x_mean_arm_4,y_mean_arm_4,z_mean_arm_4,norm_arm_4,x_mean_neck_4,y_mean_neck_4,z_mean_neck_4,norm_neck_4,x_mean_neck_4.1,y_mean_neck_4.1,z_mean_neck_4.1,norm_neck_4.1,PWR_4,HR_4,x_mean_arm_5,y_mean_arm_5,z_mean_arm_5,norm_arm_5,x_mean_neck_5,y_mean_neck_5,z_mean_neck_5,norm_neck_5,x_mean_neck_5.1,y_mean_neck_5.1,z_mean_neck_5.1,norm_neck_5.1,PWR_5,HR_5,x_mean_arm_6,y_mean_arm_6,z_mean_arm_6,norm_arm_6,x_mean_neck_6,y_mean_neck_6,z_mean_neck_6,norm_neck_6,x_mean_neck_6.1,y_mean_neck_6.1,z_mean_neck_6.1,norm_neck_6.1,PWR_6,HR_6,x_mean_arm_4v,x_mean_arm_8v,x_mean_arm_12v,x_mean_arm_16v,x_mean_arm_20v,y_mean_arm_4v,y_mean_arm_8v,y_mean_arm_12v,y_mean_arm_16v,y_mean_arm_20v,z_mean_arm_4v,z_mean_arm_8v,z_mean_arm_12v,z_mean_arm_16v,z_mean_arm_20v,norm_arm_4v,norm_arm_8v,norm_arm_12v,norm_arm_16v,norm_arm_20v,x_mean_neck_4v,x_mean_neck_8v,x_mean_neck_12v,x_mean_neck_16v,x_mean_neck_20v,y_mean_neck_4v,y_mean_neck_8v,y_mean_neck_12v,y_mean_neck_16v,y_mean_neck_20v,z_mean_neck_4v,z_mean_neck_8v,z_mean_neck_12v,z_mean_neck_16v,z_mean_neck_20v,norm_neck_4v,norm_neck_8v,norm_neck_12v,norm_neck_16v,norm_neck_20v,x_mean_waist_4v,x_mean_waist_8v,x_mean_waist_12v,x_mean_waist_16v,x_mean_waist_20v,y_mean_waist_4v,y_mean_waist_8v,y_mean_waist_12v,y_mean_waist_16v,y_mean_waist_20v,z_mean_waist_4v,z_mean_waist_8v,z_mean_waist_12v,z_mean_waist_16v,z_mean_waist_20v,norm_waist_4v,norm_waist_8v,norm_waist_12v,norm_waist_16v,norm_waist_20v,PWR_4v,PWR_8v,PWR_12v,PWR_16v,PWR_20v,label,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.2,-35,62.4,98.15599829,85.4,-12.6,36.8,93.84114236,91.6,-19.4,32,98.94907781,172433,71.00843002,0.2,0.6,0,-0.34945454,-0.8,0.4,0,-0.78073187,1,-0.2,-4.2,-0.29939459,15778,5.38344692,-0.4,0.8,0.4,0.24745693,-1,1,-0.2,-1.11854533,2.2,-0.2,-4.6,0.71716522,-35101,4.3557007,-0.6,0.6,0.6,0.58203896,0.6,1,-0.4,0.26263015,0.2,0.8,-0.2,-0.03274953,-43038,5.6055805,-0.2,1,1,0.42554156,0,0.6,-0.2,-0.15699215,0.8,0.2,-0.8,0.44830646,125285,0.80339677,-0.2,0.6,0.8,0.43588779,0.4,0.8,-0.8,-0.04945829,2,1,-3,0.75307864,742073,-3.33048567,0,1.2,0.6,-0.03729467,-0.2,0.6,-0.8,-0.57249811,-0.2,0.6,-0.2,-0.36591495,2244433,-4.76866989,0.17,0.08,0.097878788,0.1185,0.134315789,0.036666667,0.068571429,0.067878788,0.083833333,0.097263158,0.026666667,0.034285714,0.151515152,0.1745,0.161684211,0.053248487,0.036830659,0.032656427,0.059968606,0.059432328,0.146666667,0.256428571,0.180606061,0.186666667,0.158315789,0.24,0.130714286,0.24,0.255833333,0.224842105,0.253333333,0.279285714,0.242424242,0.226666667,0.270631579,0.154615752,0.159970154,0.145609369,0.171795853,0.144967706,0.08,0.170714286,0.19969697,0.301333333,0.279578947,0.533333333,0.351428571,0.243333333,0.256,0.239473684,0.493333333,0.553571429,0.791515152,1.16,1.248421053,0.065370844,0.088812276,0.08689733,0.082039914,0.068693699,4.76931E+11,2.61251E+11,1.9967E+11,1.57369E+11,1.27869E+11,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.2,-34.4,63,98.32700545,85.2,-12.4,36.8,93.632473,91.8,-18.8,32.2,99.08339922,179215,69.26797133,0,-0.6,-0.6,-0.17100716,0.2,-0.2,0,0.20866936,-0.2,-0.6,-0.2,-0.13432141,-6782,1.74045869,0.2,0,-0.6,-0.5204617,-0.6,0.2,0,-0.57206251,0.8,-0.8,-4.4,-0.433716,8996,7.12390561,-0.4,0.2,-0.2,0.07644977,-0.8,0.8,-0.2,-0.90987597,2,-0.8,-4.8,0.58284381,-41883,6.09615939,-0.6,0,0,0.4110318,0.8,0.8,-0.4,0.47129951,0,0.2,-0.4,-0.16707094,-49820,7.34603919,-0.2,0.4,0.4,0.2545344,0.2,0.4,-0.2,0.05167721,0.6,-0.4,-1,0.31398505,118503,2.54385546,-0.2,0,0.2,0.26488063,0.6,0.6,-0.8,0.15921107,1.8,0.4,-3.2,0.61875723,735291,-1.59002698,0.08,0.039285714,0.116363636,0.111333333,0.125789474,0.036666667,0.068571429,0.086060606,0.097166667,0.098,0.036666667,0.027857143,0.192424242,0.176,0.156947368,0.05162511,0.035959926,0.079262372,0.061501013,0.060278621,0.146666667,0.233571429,0.168181818,0.175333333,0.147789474,0.196666667,0.102857143,0.250606061,0.2225,0.197368421,0.276666667,0.279285714,0.243333333,0.226666667,0.267789474,0.161628232,0.143698108,0.13891512,0.163554733,0.139338317,0.08,0.168571429,0.19969697,0.3305,0.287473684,0.516666667,0.308571429,0.326060606,0.247833333,0.228526316,0.28,0.445,0.758787879,1.28,1.434105263,0.068030872,0.095729712,0.086784447,0.082826703,0.07085104,3.77876E+11,2.61433E+11,1.98773E+11,1.56048E+11,1.27169E+11,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.4,-34.2,62.6,98.1384736,84.8,-12.4,36,92.95590352,92,-18.4,31,98.81072816,164709,70.03652822,0.2,-0.2,0.4,0.18853185,0.4,0,0.8,0.67656948,-0.2,-0.4,1.2,0.27267106,14506,-0.76855689,0.2,-0.8,-0.2,0.01752469,0.6,-0.2,0.8,0.88523884,-0.4,-1,1,0.13834965,7724,0.9719018,0.4,-0.2,-0.2,-0.33192985,-0.2,0.2,0.8,0.10450697,0.6,-1.2,-3.2,-0.16104494,23502,6.35534872,-0.2,0,0.2,0.26498162,-0.4,0.8,0.6,-0.23330649,1.8,-1.2,-3.6,0.85551487,-27377,5.3276025,-0.4,-0.2,0.4,0.59956365,1.2,0.8,0.4,1.14786899,-0.2,-0.2,0.8,0.10560012,-35314,6.5774823,0,0.2,0.8,0.44306625,0.6,0.4,0.6,0.72824669,0.4,-0.8,0.2,0.58665611,133009,1.77529857,0.013333333,0.039285714,0.116363636,0.112,0.122526316,0.146666667,0.096428571,0.095454545,0.0985,0.107789474,0.036666667,0.034285714,0.19969697,0.191333333,0.160421053,0.016682436,0.029456628,0.073682171,0.057918772,0.056596735,0.196666667,0.237142857,0.203636364,0.177166667,0.151052632,0.116666667,0.068571429,0.203636364,0.186666667,0.174631579,0.066666667,0.107857143,0.122424242,0.196666667,0.21,0.079064385,0.131187752,0.163806416,0.159094673,0.14291098,0.12,0.205714286,0.19969697,0.3465,0.292526316,0.036666667,0.147857143,0.265151515,0.202,0.199894737,0.49,0.708571429,0.742727273,1.3465,1.496421053,0.028573416,0.067676553,0.078220821,0.074381565,0.065408632,2.44073E+11,2.63201E+11,1.98196E+11,1.5502E+11,1.2633E+11,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-34,62.8,98.60953301,84.8,-11.8,37.2,93.34945099,92.4,-20,30.8,99.43037765,635390,70.21299345,0.6,-0.2,-0.2,-0.47105941,0,-0.6,-1.2,-0.39354747,-0.4,1.6,0.2,-0.61964949,-470681,-0.17646523,0.8,-0.4,0.2,-0.28252756,0.4,-0.6,-0.4,0.28302201,-0.6,1.2,1.4,-0.34697843,-456175,-0.94502212,0.8,-1,-0.4,-0.45353472,0.6,-0.8,-0.4,0.49169137,-0.8,0.6,1.2,-0.48129984,-462957,0.79543657,1,-0.4,-0.4,-0.80298926,-0.2,-0.4,-0.4,-0.2890405,0.2,0.4,-3,-0.78069443,-447179,6.17888349,0.4,-0.2,0,-0.20607779,-0.4,0.2,-0.6,-0.62685396,1.4,0.4,-3.4,0.23586538,-498058,5.15113727,0.2,-0.4,0.2,0.12850424,1.2,0.2,-0.8,0.75432152,-0.6,1.4,1,-0.51404937,-505995,6.40101707,0.026666667,0.1,0.116363636,0.143333333,0.122526316,0.116666667,0.08,0.095454545,0.111333333,0.102210526,0.026666667,0.216428571,0.206969697,0.191333333,0.195684211,0.031213106,0.030695155,0.069573835,0.066672472,0.060829989,0.303333333,0.251428571,0.233636364,0.178666667,0.151052632,0.133333333,0.248571429,0.211818182,0.193166667,0.172210526,0.08,0.125,0.138181818,0.239333333,0.210947368,0.225263014,0.176559468,0.212940865,0.159971511,0.143348696,0.12,0.191428571,0.213333333,0.340666667,0.287473684,0.196666667,0.137142857,0.216969697,0.202,0.178,0.756666667,0.753571429,0.767272727,1.487333333,1.496421053,0.015475835,0.090526237,0.074676434,0.073683744,0.063408546,3.50368E+11,2.7444E+11,1.98223E+11,1.5152E+11,1.23054E+11,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-34,62.8,98.60953301,85.6,-11.4,36.8,93.86990998,91.8,-19.6,32,99.17358519,1636659,70.6967257,0,0,0,0,-0.8,-0.4,0.4,-0.52045899,0.6,-0.4,-1.2,0.25679246,-1001269,-0.48373225,0.6,-0.2,-0.2,-0.47105941,-0.8,-1,-0.8,-0.91400646,0.2,1.2,-1,-0.36285703,-1471950,-0.66019748,0.8,-0.4,0.2,-0.28252756,-0.4,-1,0,-0.23743698,0,0.8,0.2,-0.09018597,-1457444,-1.42875437,0.8,-1,-0.4,-0.45353472,-0.2,-1.2,0,-0.02876762,-0.2,0.2,0,-0.22450738,-1464226,0.31170432,1,-0.4,-0.4,-0.80298926,-1,-0.8,0,-0.80949949,0.8,0,-4.2,-0.52390197,-1448448,5.69515124,0.4,-0.2,0,-0.20607779,-1.2,-0.2,-0.2,-1.14731295,2,0,-4.6,0.49265784,-1499327,4.66740502,0.01,0.08,0.111515152,0.135833333,0.144842105,0.063333333,0.062142857,0.087272727,0.103833333,0.094631579,0.026666667,0.225714286,0.228787879,0.194666667,0.193684211,0.031310148,0.028144945,0.066695534,0.064329607,0.071785569,0.25,0.125714286,0.170909091,0.132666667,0.111578947,0.063333333,0.24,0.243333333,0.202666667,0.178,0.196666667,0.157142857,0.180606061,0.2305,0.199578947,0.162957844,0.133754645,0.177973832,0.141996671,0.127104342,0.303333333,0.279285714,0.387878788,0.336,0.365894737,0.226666667,0.147857143,0.203636364,0.195833333,0.173052632,0.756666667,1.028571429,1.446060606,1.469333333,1.533052632,0.132397992,0.108072283,0.093472772,0.073732455,0.096187201,1.07483E+11,67748484936,46884096508,35004064508,28268879858,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.4,62.4,98.35629111,85.2,-12.2,37,93.68500414,91.8,-19.8,31.4,99.02141183,879464,68.71679105,-0.2,0.4,0.4,0.2532419,0.4,0.8,-0.2,0.18490584,0,0.2,0.6,0.15217336,757195,1.97993465,-0.2,0.4,0.4,0.2532419,-0.4,0.4,0.2,-0.33555315,0.6,-0.2,-0.6,0.40896582,-244074,1.4962024,0.4,0.2,0.2,-0.21781751,-0.4,-0.2,-1,-0.72910062,0.2,1.4,-0.4,-0.21068367,-714755,1.31973717,0.6,0,0.6,-0.02928566,0,-0.2,-0.2,-0.05253114,0,1,0.8,0.06198739,-700249,0.55118028,0.6,-0.6,0,-0.20029282,0.2,-0.4,-0.2,0.15613822,-0.2,0.4,0.6,-0.07233402,-707031,2.29163897,0.8,0,0,-0.54974736,-0.6,0,-0.2,-0.62459365,0.8,0.2,-3.6,-0.37172861,-691253,7.67508589,0.01,0.114285714,0.105454545,0.135833333,0.144842105,0.063333333,0.079285714,0.100606061,0.106,0.094631579,0.026666667,0.285714286,0.228787879,0.191333333,0.199894737,0.031310148,0.101068677,0.068677885,0.065790161,0.073158548,0.116666667,0.096428571,0.147878788,0.114666667,0.111578947,0.036666667,0.248571429,0.20969697,0.180666667,0.159473684,0.173333333,0.148571429,0.19,0.227833333,0.195789474,0.074313246,0.112530427,0.156952924,0.130500224,0.132452598,0.253333333,0.279285714,0.422727273,0.3465,0.392736842,0.196666667,0.250714286,0.16969697,0.175333333,0.158315789,0.756666667,1.025714286,1.669090909,1.759333333,1.622210526,0.1155337,0.105109021,0.092437378,0.075139606,0.10104638,34219238035,17526727238,11550287841,8526722116,6873954337,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.8,62.6,98.6237294,84.6,-12,37.4,93.27336168,92.4,-19.6,30.4,99.22741557,551084,67.31165582,0,0.4,-0.2,-0.26743829,0.6,-0.2,-0.4,0.41164246,-0.6,-0.2,1,-0.20600374,328380,1.40513523,-0.2,0.8,0.2,-0.01419639,1,0.6,-0.6,0.5965483,-0.6,0,1.6,-0.05383038,1085575,3.38506988,-0.2,0.8,0.2,-0.01419639,0.2,0.2,-0.2,0.07608931,0,-0.4,0.4,0.20296208,84306,2.90133763,0.4,0.6,0,-0.4852558,0.2,-0.4,-1.4,-0.31745816,-0.4,1.2,0.6,-0.41668741,-386375,2.7248724,0.6,0.4,0.4,-0.29672395,0.6,-0.4,-0.6,0.35911132,-0.6,0.8,1.8,-0.14401635,-371869,1.95631551,0.6,-0.2,-0.2,-0.46773111,0.8,-0.6,-0.6,0.56778068,-0.8,0.2,1.6,-0.27833776,-378651,3.6967742,0.036666667,0.1,0.105454545,0.133333333,0.157894737,0.063333333,0.085,0.090606061,0.106,0.092105263,0.036666667,0.294285714,0.250606061,0.195833333,0.207473684,0.029582146,0.090454946,0.062168435,0.062098518,0.07020881,0.116666667,0.182142857,0.147878788,0.122,0.115368421,0.036666667,0.216428571,0.192424242,0.175333333,0.174631579,0.17,0.148571429,0.247272727,0.245166667,0.220105263,0.061651948,0.187517096,0.162083649,0.145236355,0.143170413,0.36,0.256428571,0.43969697,0.3465,0.386842105,0.173333333,0.214285714,0.156060606,0.175333333,0.152736842,0.836666667,0.82,1.675151515,1.787833333,1.662736842,0.117008614,0.109311096,0.093359534,0.076618763,0.108094746,3091339976,1605416951,1266597977,1123898906,949741592.3,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.6,-34.2,62.6,98.27593805,84.4,-11.6,36.8,92.80172412,91.6,-18.8,32.4,98.96342759,264141,65.11069294,-0.2,-0.6,0,0.34779135,0.2,-0.4,0.6,0.47163756,0.8,-0.8,-2,0.26398798,286943,2.20096288,-0.2,-0.2,-0.2,0.08035306,0.8,-0.6,0.2,0.88328002,0.2,-1,-1,0.05798424,615323,3.60609811,-0.4,0.2,0.2,0.33359496,1.2,0.2,0,1.06818586,0.2,-0.8,-0.4,0.2101576,1372518,5.58603276,-0.4,0.2,0.2,0.33359496,0.4,-0.2,0.4,0.54772687,0.8,-1.2,-1.6,0.46695006,371249,5.10230051,0.2,0,0,-0.13746445,0.4,-0.8,-0.8,0.1541794,0.4,0.4,-1.4,-0.15269943,-99432,4.92583528,0.4,-0.2,0.4,0.0510674,0.8,-0.8,0,0.83074888,0.2,0,-0.2,0.11997163,-84926,4.15727839,0.146666667,0.137142857,0.173333333,0.143333333,0.162,0.063333333,0.1,0.11969697,0.106,0.090947368,0.436666667,0.307857143,0.250909091,0.2425,0.214210526,0.040340372,0.08998666,0.080501243,0.068578847,0.078916506,0.116666667,0.202857143,0.141515152,0.117333333,0.109894737,0.386666667,0.222142857,0.19969697,0.175333333,0.185684211,0.17,0.148571429,0.28,0.228666667,0.220105263,0.084752444,0.222933289,0.14961299,0.1328404,0.132387046,0.266666667,0.282857143,0.416969697,0.3305,0.413789474,0.116666667,0.216428571,0.206969697,0.175333333,0.163789474,0.986666667,0.862142857,1.797272727,1.7265,1.863578947,0.165852862,0.109499065,0.094387106,0.076222896,0.108232288,1531634556,792462979.4,984393570.1,926723946.1,768762610.6,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.4,62.8,98.6105471,84,-12,37.8,92.89154967,92.8,-19.8,30.8,99.76231754,144020,63.20754431,0.2,0.2,-0.2,-0.33460905,0.4,0.4,-1,-0.08982555,-1.2,1,1.6,-0.79888995,120121,1.90314863,0,-0.4,-0.2,0.0131823,0.6,0,-0.4,0.38181201,-0.4,0.2,-0.4,-0.53490197,407064,4.10411151,0,0,-0.4,-0.25425599,1.2,-0.2,-0.8,0.79345447,-1,0,0.6,-0.74090571,735444,5.50924674,-0.2,0.4,0,-0.00101409,1.6,0.6,-1,0.97836031,-1,0.2,1.2,-0.58873235,1492639,7.48918139,-0.2,0.4,0,-0.00101409,0.8,0.2,-0.6,0.45790132,-0.4,-0.2,0,-0.33193989,491370,7.00544914,0.4,0.2,-0.2,-0.4720735,0.8,-0.4,-1.8,0.06435385,-0.8,1.4,0.2,-0.95158938,20689,6.82898391,0.116666667,0.130714286,0.173333333,0.179833333,0.173052632,0.08,0.107857143,0.122424242,0.106,0.090947368,0.44,0.336428571,0.256969697,0.24,0.232736842,0.033752268,0.084336801,0.075835468,0.083140678,0.076087302,0.036666667,0.142142857,0.105151515,0.083833333,0.079578947,0.33,0.26,0.19969697,0.164666667,0.178842105,0.17,0.193571429,0.260606061,0.213166667,0.212526316,0.148607058,0.206598045,0.147139887,0.125028426,0.124070031,0.266666667,0.473571429,0.374242424,0.397166667,0.382736842,0.036666667,0.145714286,0.177878788,0.154666667,0.153578947,1.316666667,1.919285714,1.797272727,1.787833333,1.844631579,0.100865584,0.085532555,0.060673215,0.089362839,0.088954555,1117716931,704492448.6,839185921.9,710067010.5,581027451,0,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.8,-34.4,62.4,98.35629111,84.8,-11.8,37.2,93.34945099,92.4,-19.2,31.4,99.46034386,177533,66.04460945,0,0,0.4,0.25425599,-0.8,-0.2,0.6,-0.45790132,0.4,-0.6,-0.6,0.30197368,-33513,-2.83706514,0.2,0.2,0.2,-0.08035306,-0.4,0.2,-0.4,-0.54772687,-0.8,0.4,1,-0.49691627,86608,-0.93391651,0,-0.4,0.2,0.26743829,-0.2,-0.2,0.2,-0.07608931,0,-0.4,-1,-0.23292829,373551,1.26704637,0,0,0,0,0.4,-0.4,-0.2,0.33555315,-0.6,-0.6,0,-0.43893203,701931,2.6721816,-0.2,0.4,0.4,0.2532419,0.8,0.4,-0.4,0.52045899,-0.6,-0.4,0.6,-0.28675867,1459126,4.65211625,-0.2,0.4,0.4,0.2532419,0,0,0,0,0,-0.8,-0.6,-0.02996621,457857,4.168384,0.09,0.107857143,0.173333333,0.179833333,0.199894737,0.12,0.130714286,0.124545455,0.106,0.097263158,0.613333333,0.336428571,0.250909091,0.247833333,0.231157895,0.178932398,0.085604386,0.078692505,0.084580524,0.084207072,0.066666667,0.142142857,0.105151515,0.097166667,0.079578947,0.303333333,0.245,0.19969697,0.164666667,0.219368421,0.173333333,0.205,0.262727273,0.213333333,0.273157895,0.172640079,0.205864672,0.149122056,0.14088425,0.130127739,0.196666667,0.536428571,0.381515152,0.429166667,0.374210526,0.253333333,0.142142857,0.177878788,0.157166667,0.161157895,1.21,2.296428571,2.185151515,1.903333333,1.855157895,0.052726798,0.073883479,0.055948247,0.088318404,0.084447668,1095355346,878053185.1,783084399.7,649870621.8,538602443.5,2,,,,,,,,,,,,,,,
